2024/3/28 13:59, ERROR , offline, 设备['5604924'],,,,,,,
2024/3/28 14:02, ERROR , offline, 设备['Swatch201100016'],,, 设备['5604924'], 设备['Swatch201100016'], 设备['0123456789ABCDEF'], 设备['27a2caf7'], 设备['4d30028']
2024/3/28 14:04, ERROR , offline, 设备['0123456789ABCDEF'],,,11,7,6,6,3
2024/3/28 14:04, ERROR , offline, 设备['27a2caf7'],,,,,,,
2024/3/28 14:04, ERROR , offline, 设备['4d30028'],,, 设备['4d30028'], 设备['3VU6R19929000756'], 设备['1d772010'], 设备['Swatch201100010'], 设备['67262151003092']
2024/3/28 14:05, ERROR , offline, 设备['Swatch201100016'],,,3,1,8,6,5
2024/3/28 14:05, ERROR , offline, 设备['5604924'],,,,,,,
2024/3/28 14:07, ERROR , offline, 设备['27a2caf7'],,,,,,,
2024/3/28 14:07, ERROR , offline, 设备['4d30028'],,,,,,,
2024/3/28 14:08, ERROR , offline, 设备['3VU6R19929000756'],,,,,,,
2024/3/28 14:09, ERROR , offline, 设备['5604924'],,,,,,,
2024/3/28 14:09, ERROR , offline, 设备['1d772010'],,,,,,,
2024/3/28 14:09, ERROR , offline, 设备['Swatch201100010'],,,,,,,
2024/3/28 14:09, ERROR , offline, 设备['0123456789abcdef'],,,,,,,
2024/3/28 14:10, ERROR , offline, 设备['5604924'],,,,,,,
2024/3/28 14:14, ERROR , offline, 设备['Swatch201100016'],,,,,,,
2024/3/28 14:14, ERROR , offline, 设备['5604924'],,,,,,,
2024/3/28 14:14, ERROR , offline, 设备['0123456789ABCDEF'],,,,,,,
2024/3/28 14:14, ERROR , offline, 设备['1d772010'],,,,,,,
2024/3/28 14:15, ERROR , offline, 设备['Swatch201100016'],,,,,,,
2024/3/28 14:15, ERROR , offline, 设备['5604924'],,,,,,,
2024/3/28 14:18, ERROR , offline, 设备['67262151003092'],,,,,,,
2024/3/28 14:19, ERROR , offline, 设备['27a2caf7'],,,,,,,
2024/3/28 14:22, ERROR , offline, 设备['Swatch201100016'],,,,,,,
2024/3/28 14:22, ERROR , offline, 设备['5604924'],,,,,,,
2024/3/28 14:23, ERROR , offline, 设备['Swatch201100010'],,,,,,,
2024/3/28 14:26, ERROR , offline, 设备['1d772010'],,,,,,,
2024/3/28 14:26, ERROR , offline, 设备['17d6002a'],,,,,,,
2024/3/28 14:27, ERROR , offline, 设备['5604924'],,,,,,,
2024/3/28 14:30, ERROR , offline, 设备['0123456789abcdef'],,,,,,,
2024/3/28 14:33, ERROR , offline, 设备['5604924'],,,,,,,
2024/3/28 14:34, ERROR , offline, 设备['5604924'],,,,,,,
2024/3/28 14:35, ERROR , offline, 设备['Swatch201100010'],,,,,,,
2024/3/28 14:36, ERROR , offline, 设备['1d772010'],,,,,,,
2024/3/28 14:37, ERROR , offline, 设备['17d6002a'],,,,,,,
2024/3/28 14:38, ERROR , offline, 设备['4d30028'],,,,,,,
2024/3/28 14:39, ERROR , offline, 设备['Swatch201100016'],,,,,,,
2024/3/28 14:40, ERROR , offline, 设备['1d772010'],,,,,,,
2024/3/28 14:43, ERROR , offline, 设备['27a2caf7'],,,,,,,
2024/3/28 14:44, ERROR , offline, 设备['Swatch201100016'],,,,,,,
2024/3/28 14:45, ERROR , offline, 设备['1d772010'],,,,,,,
2024/3/28 14:45, ERROR , offline, 设备['27a2caf7'],,,,,,,
2024/3/28 14:45, ERROR , offline, 设备['67262151003092'],,,,,,,
2024/3/28 14:46, ERROR , offline, 设备['5604924'],,,,,,,
2024/3/28 14:47, ERROR , offline, 设备['67262151003092'],,,,,,,
2024/3/28 14:48, ERROR , offline, 设备['0123456789ABCDEF'],,,,,,,
2024/3/28 14:48, ERROR , offline, 设备['27a2caf7'],,,,,,,
2024/3/28 14:50, ERROR , offline, 设备['67262151003092'],,,,,,,
2024/3/28 14:50, ERROR , offline, 设备['Swatch201100010'],,,,,,,
2024/3/28 14:52, ERROR , offline, 设备['1d772010'],,,,,,,
2024/3/28 14:52, ERROR , offline, 设备['Swatch201100010'],,,,,,,
2024/3/28 14:53, ERROR , offline, 设备['0123456789ABCDEF'],,,,,,,
2024/3/28 14:53, ERROR , offline, 设备['1d772010'],,,,,,,
2024/3/28 15:00, ERROR , offline, 设备['67262151003092'],,,,,,,
2024/3/28 15:01, ERROR , offline, 设备['17d6002a'],,,,,,,
2024/3/28 15:01, ERROR , offline, 设备['Swatch201100010'],,,,,,,
